127.0.0.1 - - [14/Apr/2016:11:12:37 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:12:38 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:12:38 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:14:40 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:14:40 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:14:40 -0500] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:14:40 -0500] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:17:16 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:17:16 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:17:16 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:17:28 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:17:28 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:17:28 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:17:39 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:17:39 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:17:39 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 200 917
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:17:46 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:17:46 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:17:46 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 200 917
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:17:52 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:17:53 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:17:53 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 200 917
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:17:59 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:17:59 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:17:59 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:18:13 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:18:13 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:18:13 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 200 917
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:19:28 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:19:28 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:19:28 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:20:54 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:20:54 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:20:54 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:21:05 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:21:05 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:21:05 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:21:15 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:21:15 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:21:15 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:21:19 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:21:19 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:21:19 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:22:49 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:22:49 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:22:49 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:23:06 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:23:06 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:23:06 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:23:56 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:23:56 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:23:56 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:24:24 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:24:24 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:24:24 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:24:39 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:24:39 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:24:39 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:24:48 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:24:48 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:24:48 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 200 1008
