127.0.0.1 - - [08/Apr/2016:13:55:55 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Apr/2016:13:55:56 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [08/Apr/2016:13:55:56 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2016:13:56:01 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [08/Apr/2016:13:56:01 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2016:13:56:01 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [08/Apr/2016:13:56:01 -0500] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Apr/2016:13:56:01 -0500] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Apr/2016:13:56:07 -0500] "GET /DrinkResponsibly/form HTTP/1.1" 200 2599
0:0:0:0:0:0:0:1 - - [08/Apr/2016:13:56:15 -0500] "POST /DrinkResponsibly/calculate-drink-amount HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [08/Apr/2016:13:56:24 -0500] "GET /DrinkResponsibly/form HTTP/1.1" 200 2599
0:0:0:0:0:0:0:1 - - [08/Apr/2016:13:59:19 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [08/Apr/2016:13:59:19 -0500] "GET /form HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [08/Apr/2016:13:59:20 -0500] "GET /form HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [08/Apr/2016:13:59:20 -0500] "GET /form HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [08/Apr/2016:13:59:20 -0500] "GET /form HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [08/Apr/2016:13:59:30 -0500] "POST /DrinkResponsibly/calculate-drink-amount HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [08/Apr/2016:13:59:36 -0500] "POST /DrinkResponsibly/calculate-drink-amount HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [08/Apr/2016:13:59:45 -0500] "POST /DrinkResponsibly/calculate-drink-amount HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [08/Apr/2016:13:59:50 -0500] "POST /DrinkResponsibly/calculate-drink-amount HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [08/Apr/2016:14:00:03 -0500] "POST /DrinkResponsibly/calculate-drink-amount HTTP/1.1" 200 1395
